Entity,Code,Year,9.b.1 - Proportion of medium and high-tech manufacturing value added in total value added (%) - NV_IND_TECH
Congo,COG,2013,2.42
Congo,COG,2014,2.42
Congo,COG,2015,2.42
Congo,COG,2016,2.42
Congo,COG,2017,2.42
Congo,COG,2018,2.42
Congo,COG,2019,2.42
Costa Rica,CRI,2000,18.76
Costa Rica,CRI,2001,16.71
Costa Rica,CRI,2002,17.19
Costa Rica,CRI,2003,16.75
Costa Rica,CRI,2004,21.69
Costa Rica,CRI,2005,21.9
Costa Rica,CRI,2006,24.69
Costa Rica,CRI,2007,21.42
Costa Rica,CRI,2008,19.76
Costa Rica,CRI,2009,19.68
Costa Rica,CRI,2010,19.28
Costa Rica,CRI,2011,21.08
Costa Rica,CRI,2012,21.87
Costa Rica,CRI,2013,22.17
Costa Rica,CRI,2014,19.92
Costa Rica,CRI,2015,16.59
Costa Rica,CRI,2016,15.22
Costa Rica,CRI,2017,14.62
Costa Rica,CRI,2018,14.41
Costa Rica,CRI,2019,14.41
Cote d'Ivoire,CIV,2000,14.99
Cote d'Ivoire,CIV,2001,14.99
Cote d'Ivoire,CIV,2002,14.99
Cote d'Ivoire,CIV,2003,14.99
Cote d'Ivoire,CIV,2004,14.99
Cote d'Ivoire,CIV,2005,14.99
Cote d'Ivoire,CIV,2006,14.99
Cote d'Ivoire,CIV,2007,14.99
Cote d'Ivoire,CIV,2008,14.99
Cote d'Ivoire,CIV,2009,14.99
Cote d'Ivoire,CIV,2010,14.99
Cote d'Ivoire,CIV,2011,14.99
Cote d'Ivoire,CIV,2012,14.99
Cote d'Ivoire,CIV,2013,14.99
Cote d'Ivoire,CIV,2014,14.99
Cote d'Ivoire,CIV,2015,14.99
Cote d'Ivoire,CIV,2016,14.99
Cote d'Ivoire,CIV,2017,14.99
Cote d'Ivoire,CIV,2018,14.99
Cote d'Ivoire,CIV,2019,14.99
Croatia,HRV,2000,10.9
Croatia,HRV,2001,10.9
Croatia,HRV,2002,10.9
Croatia,HRV,2003,7.24
Croatia,HRV,2004,7.24
Croatia,HRV,2005,7.24
Croatia,HRV,2006,7.24
Croatia,HRV,2007,7.24
Croatia,HRV,2008,33.66
Croatia,HRV,2009,33.67
Croatia,HRV,2010,37.55
Croatia,HRV,2011,34.49
Croatia,HRV,2012,33.78
Croatia,HRV,2013,32.36
Croatia,HRV,2014,32.39
Croatia,HRV,2015,34.21
Croatia,HRV,2016,29.8
Croatia,HRV,2017,29.94
Croatia,HRV,2018,27.98
Croatia,HRV,2019,28.69
Cuba,CUB,2000,16.22
Cuba,CUB,2001,16.22
Cuba,CUB,2002,16.22
Cuba,CUB,2003,16.22
Cuba,CUB,2004,16.22
Cuba,CUB,2005,16.22
Cuba,CUB,2006,16.22
Cuba,CUB,2007,16.22
Cuba,CUB,2008,16.22
Cuba,CUB,2009,16.22
Cuba,CUB,2010,16.22
Cuba,CUB,2011,16.22
Cuba,CUB,2012,16.22
Cuba,CUB,2013,16.22
Cuba,CUB,2014,16.22
Cuba,CUB,2015,16.22
Cuba,CUB,2016,16.22
Cuba,CUB,2017,16.22
Cuba,CUB,2018,16.22
Cuba,CUB,2019,16.22
Cyprus,CYP,2000,11.88
Cyprus,CYP,2001,12.04
Cyprus,CYP,2002,11.77
Cyprus,CYP,2003,10.92
Cyprus,CYP,2004,10.82
Cyprus,CYP,2005,4.83
Cyprus,CYP,2006,5.53
Cyprus,CYP,2007,6.02
Cyprus,CYP,2008,12.92
Cyprus,CYP,2009,13.19
Cyprus,CYP,2010,15.01
Cyprus,CYP,2011,16.15
Cyprus,CYP,2012,18.7
Cyprus,CYP,2013,22.46
Cyprus,CYP,2014,25.51
Cyprus,CYP,2015,29.26
Cyprus,CYP,2016,28.58
Cyprus,CYP,2017,33.19
Cyprus,CYP,2018,34.47
Cyprus,CYP,2019,27.29
Czechia,CZE,2000,39.12
Czechia,CZE,2001,39.91
Czechia,CZE,2002,39.5
Czechia,CZE,2003,40.28
Czechia,CZE,2004,40.65
Czechia,CZE,2005,41.05
Czechia,CZE,2006,44.49
Czechia,CZE,2007,44.61
Czechia,CZE,2008,40.99
Czechia,CZE,2009,41.36
Czechia,CZE,2010,45.02
Czechia,CZE,2011,45.74
Czechia,CZE,2012,46.74
Czechia,CZE,2013,47.36
Czechia,CZE,2014,48.29
Czechia,CZE,2015,52.48
Czechia,CZE,2016,52.12
Czechia,CZE,2017,52.95
Czechia,CZE,2018,52.25
Czechia,CZE,2019,52.08
Denmark,DNK,2000,40.82
Denmark,DNK,2001,42.22
Denmark,DNK,2002,41.19
Denmark,DNK,2003,41.68
Denmark,DNK,2004,40.96
Denmark,DNK,2005,41.89
Denmark,DNK,2006,43.9
Denmark,DNK,2007,44.35
Denmark,DNK,2008,44.57
Denmark,DNK,2009,47.65
Denmark,DNK,2010,49.89
Denmark,DNK,2011,52.05
Denmark,DNK,2012,52.49
Denmark,DNK,2013,53.21
Denmark,DNK,2014,53.84
Denmark,DNK,2015,55.05
Denmark,DNK,2016,56.24
Denmark,DNK,2017,56.75
Denmark,DNK,2018,59.1
Denmark,DNK,2019,58.36
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,48.5
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2001,47.41
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2002,47.95
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2003,48.12
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2004,47.64
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,47.43
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2006,47.74
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2007,48.11
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2008,48.42
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2009,47.28
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,48.55
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2011,48.2
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2012,48.78
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2013,48.69
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2014,49.58
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,49.87
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,49.77
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,49.77
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,49.44
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2019,48.7
Developing regions,,2000,41.32
Developing regions,,2001,41.16
Developing regions,,2002,42.52
Developing regions,,2003,42.52
Developing regions,,2004,41.99
Developing regions,,2005,41.75
Developing regions,,2006,41.66
Developing regions,,2007,41.56
Developing regions,,2008,40.91
Developing regions,,2009,41
Developing regions,,2010,40.88
Developing regions,,2011,41.34
Developing regions,,2012,41.17
Developing regions,,2013,40.94
Developing regions,,2014,41.21
Developing regions,,2015,41.63
Developing regions,,2016,41.44
Developing regions,,2017,41.95
Developing regions,,2018,42.03
Developing regions,,2019,41.68
Eastern Africa,,2000,10.85
Eastern Africa,,2001,10.93
Eastern Africa,,2002,10.73
Eastern Africa,,2003,8.32
Eastern Africa,,2004,8.21
Eastern Africa,,2005,7.43
Eastern Africa,,2006,7.49
Eastern Africa,,2007,7.08
Eastern Africa,,2008,8.31
Eastern Africa,,2009,9.7
Eastern Africa,,2010,10.49
Eastern Africa,,2011,11.09
Eastern Africa,,2012,11.83
Eastern Africa,,2013,11.2
Eastern Africa,,2014,11.48
Eastern Africa,,2015,11.97
Eastern Africa,,2016,12.34
Eastern Africa,,2017,11.37
Eastern Africa,,2018,11.41
Eastern Africa,,2019,11.28
Eastern Asia,,2000,50.68
Eastern Asia,,2001,49.75
Eastern Asia,,2002,51.42
Eastern Asia,,2003,51.93
Eastern Asia,,2004,51.96
Eastern Asia,,2005,51.59
Eastern Asia,,2006,51.74
Eastern Asia,,2007,51.56
Eastern Asia,,2008,49.75
Eastern Asia,,2009,48.56
Eastern Asia,,2010,48.85
Eastern Asia,,2011,48.5
Eastern Asia,,2012,48.12
Eastern Asia,,2013,47.66
Eastern Asia,,2014,47.63
Eastern Asia,,2015,47.55
Eastern Asia,,2016,47.74
Eastern Asia,,2017,47.59
Eastern Asia,,2018,47.07
Eastern Asia,,2019,46.95
Eastern Asia (excluding Japan),,2000,48.36
Eastern Asia (excluding Japan),,2001,47.43
Eastern Asia (excluding Japan),,2002,48.91
Eastern Asia (excluding Japan),,2003,49.04
Eastern Asia (excluding Japan),,2004,48.95
Eastern Asia (excluding Japan),,2005,48.3
Eastern Asia (excluding Japan),,2006,48.41
Eastern Asia (excluding Japan),,2007,48.2
Eastern Asia (excluding Japan),,2008,46.31
Eastern Asia (excluding Japan),,2009,45.98
Eastern Asia (excluding Japan),,2010,45.42
Eastern Asia (excluding Japan),,2011,46.01
Eastern Asia (excluding Japan),,2012,45.46
Eastern Asia (excluding Japan),,2013,45.43
Eastern Asia (excluding Japan),,2014,45.44
Eastern Asia (excluding Japan),,2015,45.33
Eastern Asia (excluding Japan),,2016,45.34
Eastern Asia (excluding Japan),,2017,45.38
Eastern Asia (excluding Japan),,2018,44.89
Eastern Asia (excluding Japan),,2019,44.69
Eastern Europe,,2000,32.95
Eastern Europe,,2001,33.04
Eastern Europe,,2002,29.88
Eastern Europe,,2003,32.43
Eastern Europe,,2004,31.33
Eastern Europe,,2005,30.22
Eastern Europe,,2006,30.92
Eastern Europe,,2007,30.98
Eastern Europe,,2008,31.64
Eastern Europe,,2009,32.83
Eastern Europe,,2010,34.08
Eastern Europe,,2011,34.13
Eastern Europe,,2012,34.16
Eastern Europe,,2013,33.89
Eastern Europe,,2014,34.46
Eastern Europe,,2015,37.5
Eastern Europe,,2016,37.3
Eastern Europe,,2017,36.31
Eastern Europe,,2018,35.07
Eastern Europe,,2019,34.94
Eastern and South-Eastern Asia,,2000,50.19
Eastern and South-Eastern Asia,,2001,49.08
Eastern and South-Eastern Asia,,2002,50.53
Eastern and South-Eastern Asia,,2003,51.03
Eastern and South-Eastern Asia,,2004,51.15
Eastern and South-Eastern Asia,,2005,50.99
Eastern and South-Eastern Asia,,2006,51.06
Eastern and South-Eastern Asia,,2007,50.89
Eastern and South-Eastern Asia,,2008,49.15
Eastern and South-Eastern Asia,,2009,48.11
Eastern and South-Eastern Asia,,2010,48.47
Eastern and South-Eastern Asia,,2011,47.92
Eastern and South-Eastern Asia,,2012,47.73
Eastern and South-Eastern Asia,,2013,47.11
Eastern and South-Eastern Asia,,2014,47.22
Eastern and South-Eastern Asia,,2015,47.13
Eastern and South-Eastern Asia,,2016,47.03
Eastern and South-Eastern Asia,,2017,47.27
Eastern and South-Eastern Asia,,2018,46.92
Eastern and South-Eastern Asia,,2019,46.71
Ecuador,ECU,2000,11.92
Ecuador,ECU,2001,8.35
Ecuador,ECU,2002,11.82
Ecuador,ECU,2003,7.58
Ecuador,ECU,2004,6.31
Ecuador,ECU,2005,8.52
Ecuador,ECU,2006,9.19
Ecuador,ECU,2007,6.43
Ecuador,ECU,2008,8.15
Ecuador,ECU,2009,8.1
Ecuador,ECU,2010,10.56
Ecuador,ECU,2011,14.27
Ecuador,ECU,2012,8.32
Ecuador,ECU,2013,10.23
Ecuador,ECU,2014,10.26
Ecuador,ECU,2015,12.21
Ecuador,ECU,2016,13.78
Ecuador,ECU,2017,15.58
Ecuador,ECU,2018,17.57
Ecuador,ECU,2019,14.96
Egypt,EGY,2000,36.19
Egypt,EGY,2001,32.18
Egypt,EGY,2002,32.49
Egypt,EGY,2003,32.18
Egypt,EGY,2004,27.36
Egypt,EGY,2005,28.97
Egypt,EGY,2006,25.75
Egypt,EGY,2007,25.71
Egypt,EGY,2008,25.71
Egypt,EGY,2009,24.26
Egypt,EGY,2010,23.84
Egypt,EGY,2011,21.32
Egypt,EGY,2012,20.76
Egypt,EGY,2013,18.09
Egypt,EGY,2014,14.03
Egypt,EGY,2015,18.49
Egypt,EGY,2016,20.04
Egypt,EGY,2017,20.94
Egypt,EGY,2018,20.94
Egypt,EGY,2019,20.94
El Salvador,SLV,2000,19.13
El Salvador,SLV,2001,19.13
El Salvador,SLV,2002,19.13
El Salvador,SLV,2003,19.13
El Salvador,SLV,2004,19.13
El Salvador,SLV,2005,19.13
El Salvador,SLV,2006,19.13
El Salvador,SLV,2007,19.13
El Salvador,SLV,2008,19.13
El Salvador,SLV,2009,19.13
El Salvador,SLV,2010,19.13
El Salvador,SLV,2011,19.13
El Salvador,SLV,2012,19.13
El Salvador,SLV,2013,19.13
El Salvador,SLV,2014,19.13
El Salvador,SLV,2015,19.13
El Salvador,SLV,2016,19.13
El Salvador,SLV,2017,19.13
El Salvador,SLV,2018,19.13
El Salvador,SLV,2019,19.13
Eritrea,ERI,2000,8.69
Eritrea,ERI,2001,9.49
Eritrea,ERI,2002,11.32
Eritrea,ERI,2003,10.86
Eritrea,ERI,2004,9.64
Eritrea,ERI,2005,9.85
Eritrea,ERI,2006,14.32
Eritrea,ERI,2007,6.64
Eritrea,ERI,2008,11.96
Eritrea,ERI,2009,7.05
Eritrea,ERI,2010,6.06
Eritrea,ERI,2011,7.16
Eritrea,ERI,2012,8.95
Eritrea,ERI,2013,7.47
Eritrea,ERI,2014,7.58
Eritrea,ERI,2015,5.31
Eritrea,ERI,2016,4.3
Eritrea,ERI,2017,4.63
Eritrea,ERI,2018,9.72
Eritrea,ERI,2019,9.72
Estonia,EST,2000,21.85
Estonia,EST,2001,16.62
Estonia,EST,2002,15.71
Estonia,EST,2003,20.16
Estonia,EST,2004,20
Estonia,EST,2005,22.45
Estonia,EST,2006,19.36
Estonia,EST,2007,23.16
Estonia,EST,2008,29.34
Estonia,EST,2009,26.36
Estonia,EST,2010,28.36
Estonia,EST,2011,32.5
Estonia,EST,2012,28.44
Estonia,EST,2013,28.88
Estonia,EST,2014,29.22
Estonia,EST,2015,29.91
Estonia,EST,2016,28.33
Estonia,EST,2017,27.93
Estonia,EST,2018,33.49
Estonia,EST,2019,29.64
Eswatini,SWZ,2000,0.95
Eswatini,SWZ,2001,0.82
Eswatini,SWZ,2002,0.82
Eswatini,SWZ,2003,0.82
Eswatini,SWZ,2004,1.63
Eswatini,SWZ,2005,1.63
Eswatini,SWZ,2006,1.63
Eswatini,SWZ,2007,1.63
Eswatini,SWZ,2008,1.63
Eswatini,SWZ,2009,1.63
Eswatini,SWZ,2010,1.63
Eswatini,SWZ,2011,2.23
Eswatini,SWZ,2012,2.23
Eswatini,SWZ,2013,2.23
Eswatini,SWZ,2014,2.23
Eswatini,SWZ,2015,2.23
Eswatini,SWZ,2016,2.23
Eswatini,SWZ,2017,2.23
Eswatini,SWZ,2018,2.23
Eswatini,SWZ,2019,2.23
Ethiopia,ETH,2000,11.74
Ethiopia,ETH,2001,8.89
Ethiopia,ETH,2002,7.3
Ethiopia,ETH,2003,6.6
Ethiopia,ETH,2004,7.96
Ethiopia,ETH,2005,6.26
Ethiopia,ETH,2006,6.86
Ethiopia,ETH,2007,9.64
Ethiopia,ETH,2008,7.73
Ethiopia,ETH,2009,9.41
Ethiopia,ETH,2010,10.92
Ethiopia,ETH,2011,10.41
Ethiopia,ETH,2012,11.42
Ethiopia,ETH,2013,16.7
Ethiopia,ETH,2014,16.07
Ethiopia,ETH,2015,16.07
Ethiopia,ETH,2016,16.07
Ethiopia,ETH,2017,16.07
Ethiopia,ETH,2018,16.07
Ethiopia,ETH,2019,16.07
Europe,,2000,44.69
Europe,,2001,44.27
Europe,,2002,44.33
Europe,,2003,44.85
Europe,,2004,44.22
Europe,,2005,44.47
Europe,,2006,44.91
Europe,,2007,45.06
Europe,,2008,45.67
Europe,,2009,45.97
Europe,,2010,47.28
Europe,,2011,47.73
Europe,,2012,48.45
Europe,,2013,48.87
Europe,,2014,49.62
Europe,,2015,50.34
Europe,,2016,50.23
Europe,,2017,50.13
Europe,,2018,49.81
Europe,,2019,48.82
Europe and Northern America,,2000,47.64
Europe and Northern America,,2001,46.62
Europe and Northern America,,2002,46.93
Europe and Northern America,,2003,47.02
Europe and Northern America,,2004,46.33
Europe and Northern America,,2005,46.09
Europe and Northern America,,2006,46.39
Europe and Northern America,,2007,46.82
Europe and Northern America,,2008,47.32
Europe and Northern America,,2009,46.21
Europe and Northern America,,2010,47.19
Europe and Northern America,,2011,47.29
Europe and Northern America,,2012,47.78
Europe and Northern America,,2013,47.9
Europe and Northern America,,2014,48.88
Europe and Northern America,,2015,49.13
Europe and Northern America,,2016,48.89
Europe and Northern America,,2017,48.96
Europe and Northern America,,2018,48.58
Europe and Northern America,,2019,47.68
Fiji,FJI,2000,8.54
Fiji,FJI,2001,5.83
Fiji,FJI,2002,7.23
Fiji,FJI,2003,7.07
Fiji,FJI,2004,7.07
Fiji,FJI,2005,7.98
Fiji,FJI,2006,7.45
Fiji,FJI,2007,7.04
Fiji,FJI,2008,6.76
Fiji,FJI,2009,7.66
Fiji,FJI,2010,7.87
Fiji,FJI,2011,7.69
Fiji,FJI,2012,7.79
Fiji,FJI,2013,7.19
Fiji,FJI,2014,7.13
Fiji,FJI,2015,7.06
Fiji,FJI,2016,7.11
Fiji,FJI,2017,7.71
Fiji,FJI,2018,7.76
Fiji,FJI,2019,7.76
Finland,FIN,2000,44.63
Finland,FIN,2001,48.29
Finland,FIN,2002,47.18
Finland,FIN,2003,48.91
Finland,FIN,2004,45.31
Finland,FIN,2005,46.83
Finland,FIN,2006,45.79
Finland,FIN,2007,50
Finland,FIN,2008,50.69
Finland,FIN,2009,45.24
Finland,FIN,2010,47.43
Finland,FIN,2011,39.76
Finland,FIN,2012,36.61
Finland,FIN,2013,38.31
Finland,FIN,2014,45.45
Finland,FIN,2015,44.97
Finland,FIN,2016,47.48
Finland,FIN,2017,46.75
Finland,FIN,2018,46.93
Finland,FIN,2019,45.64
France,FRA,2000,46.3
France,FRA,2001,46.35
France,FRA,2002,45.69
France,FRA,2003,46.61
France,FRA,2004,45.37
France,FRA,2005,46.12
France,FRA,2006,46.43
France,FRA,2007,47.37
France,FRA,2008,47.24
France,FRA,2009,47.12
France,FRA,2010,47.96
France,FRA,2011,48
France,FRA,2012,48.96
France,FRA,2013,49.5
France,FRA,2014,51.87
France,FRA,2015,52.18
France,FRA,2016,51.14
France,FRA,2017,50.78
France,FRA,2018,52.41
France,FRA,2019,50.42
Gabon,GAB,2000,5.39
Gabon,GAB,2001,5.39
Gabon,GAB,2002,5.39
Gabon,GAB,2003,5.39
Gabon,GAB,2004,5.39
Gabon,GAB,2005,5.39
Gabon,GAB,2006,5.39
Gabon,GAB,2007,5.39
Gabon,GAB,2008,5.39
Gabon,GAB,2009,5.39
Gabon,GAB,2010,5.39
Gabon,GAB,2011,5.39
Gabon,GAB,2012,5.39
Gabon,GAB,2013,5.39
Gabon,GAB,2014,5.39
Gabon,GAB,2015,5.39
Gabon,GAB,2016,5.39
Gabon,GAB,2017,5.39
Gabon,GAB,2018,5.39
Gabon,GAB,2019,5.39
Gambia,GMB,2000,0.79
Gambia,GMB,2001,0.79
Gambia,GMB,2002,0.79
Gambia,GMB,2003,0.79
Gambia,GMB,2004,3.9
Gambia,GMB,2005,3.9
Gambia,GMB,2006,3.9
Gambia,GMB,2007,3.9
Gambia,GMB,2008,3.9
Gambia,GMB,2009,3.9
Gambia,GMB,2010,3.9
Gambia,GMB,2011,3.9
Gambia,GMB,2012,3.9
Gambia,GMB,2013,3.9
Gambia,GMB,2014,3.9
Gambia,GMB,2015,3.9
Gambia,GMB,2016,3.9
Gambia,GMB,2017,3.9
Gambia,GMB,2018,3.9
Gambia,GMB,2019,3.9
Georgia,GEO,2000,21.39
Georgia,GEO,2001,17.25
Georgia,GEO,2002,15.04
Georgia,GEO,2003,17.12
Georgia,GEO,2004,16.03
Georgia,GEO,2005,18.58
Georgia,GEO,2006,20.65
Georgia,GEO,2007,15.73
Georgia,GEO,2008,15.38
Georgia,GEO,2009,21.6
Georgia,GEO,2010,17.18
Georgia,GEO,2011,21.8
Georgia,GEO,2012,17.85
Georgia,GEO,2013,18.61
Georgia,GEO,2014,14.7
Georgia,GEO,2015,14.73
Georgia,GEO,2016,12.14
Georgia,GEO,2017,13.42
Georgia,GEO,2018,12.78
Georgia,GEO,2019,12.8
Germany,DEU,2000,54.53
Germany,DEU,2001,55.03
Germany,DEU,2002,55.65
Germany,DEU,2003,56.78
Germany,DEU,2004,56.45
Germany,DEU,2005,57.12
Germany,DEU,2006,57.73
Germany,DEU,2007,58.62
Germany,DEU,2008,60.26
Germany,DEU,2009,58
Germany,DEU,2010,59.57
Germany,DEU,2011,60.78
Germany,DEU,2012,60.94
Germany,DEU,2013,61.02
Germany,DEU,2014,62.2
Germany,DEU,2015,62.21
Germany,DEU,2016,62.45
Germany,DEU,2017,62.53
Germany,DEU,2018,61.47
Germany,DEU,2019,60.67
Ghana,GHA,2000,1.77
Ghana,GHA,2001,1.77
Ghana,GHA,2002,1.77
Ghana,GHA,2003,0.8
Ghana,GHA,2004,0.67
Ghana,GHA,2005,0.67
Ghana,GHA,2006,0.67
Ghana,GHA,2007,0.67
Ghana,GHA,2008,0.67
Ghana,GHA,2009,4.35
Ghana,GHA,2010,4.35
Ghana,GHA,2011,4.35
Ghana,GHA,2012,4.35
Ghana,GHA,2013,10.84
Ghana,GHA,2014,10.84
Ghana,GHA,2015,10.84
Ghana,GHA,2016,10.84
Ghana,GHA,2017,10.84
Ghana,GHA,2018,10.84
Ghana,GHA,2019,10.84
Greece,GRC,2000,24.12
Greece,GRC,2001,20.45
Greece,GRC,2002,20.45
Greece,GRC,2003,21.76
Greece,GRC,2004,20.84
Greece,GRC,2005,18.9
Greece,GRC,2006,20.5
Greece,GRC,2007,21.96
Greece,GRC,2008,24.06
Greece,GRC,2009,23.25
Greece,GRC,2010,17.95
Greece,GRC,2011,21.58
Greece,GRC,2012,22.04
Greece,GRC,2013,25.45
Greece,GRC,2014,24.82
Greece,GRC,2015,23
Greece,GRC,2016,21.76
Greece,GRC,2017,21.2
Greece,GRC,2018,21.17
Greece,GRC,2019,19.62
Guatemala,GTM,2000,22.4
Guatemala,GTM,2001,22.4
Guatemala,GTM,2002,22.4
Guatemala,GTM,2003,22.4
Guatemala,GTM,2004,22.4
Guatemala,GTM,2005,22.4
Guatemala,GTM,2006,22.4
Guatemala,GTM,2007,22.4
Guatemala,GTM,2008,22.4
Guatemala,GTM,2009,22.4
Guatemala,GTM,2010,22.4
Guatemala,GTM,2011,22.4
Guatemala,GTM,2012,22.4
Guatemala,GTM,2013,22.4
Guatemala,GTM,2014,22.4
Guatemala,GTM,2015,22.4
Guatemala,GTM,2016,22.4
Guatemala,GTM,2017,22.4
Guatemala,GTM,2018,22.4
Guatemala,GTM,2019,22.4
Haiti,HTI,2000,5.26
Haiti,HTI,2001,5.26
Haiti,HTI,2002,5.26
Haiti,HTI,2003,5.26
Haiti,HTI,2004,5.26
Haiti,HTI,2005,5.26
Haiti,HTI,2006,5.26
Haiti,HTI,2007,5.26
Haiti,HTI,2008,5.26
Haiti,HTI,2009,5.26
Haiti,HTI,2010,5.26
Haiti,HTI,2011,5.26
Haiti,HTI,2012,5.26
Haiti,HTI,2013,5.26
Haiti,HTI,2014,5.26
Haiti,HTI,2015,5.26
Haiti,HTI,2016,5.26
Haiti,HTI,2017,5.26
Haiti,HTI,2018,5.26
Haiti,HTI,2019,5.26
Honduras,HND,2000,7.16
Honduras,HND,2001,7.16
Honduras,HND,2002,7.16
Honduras,HND,2003,7.16
Honduras,HND,2004,7.16
Honduras,HND,2005,7.16
Honduras,HND,2006,7.16
Honduras,HND,2007,7.16
Honduras,HND,2008,7.16
Honduras,HND,2009,7.16
Honduras,HND,2010,7.16
Honduras,HND,2011,7.16
Honduras,HND,2012,7.16
Honduras,HND,2013,7.16
Honduras,HND,2014,7.16
Honduras,HND,2015,7.16
Honduras,HND,2016,7.16
Honduras,HND,2017,7.16
Honduras,HND,2018,7.16
Honduras,HND,2019,7.16
Hungary,HUN,2000,48.17
Hungary,HUN,2001,46.02
Hungary,HUN,2002,45.58
Hungary,HUN,2003,50.29
Hungary,HUN,2004,52
Hungary,HUN,2005,53.16
Hungary,HUN,2006,53.46
Hungary,HUN,2007,52.49
Hungary,HUN,2008,51.99
Hungary,HUN,2009,54.34
Hungary,HUN,2010,56.13
Hungary,HUN,2011,57.75
Hungary,HUN,2012,57.03
Hungary,HUN,2013,57.9
Hungary,HUN,2014,59.06
Hungary,HUN,2015,59.99
Hungary,HUN,2016,56.89
Hungary,HUN,2017,57.89
Hungary,HUN,2018,55.54
Hungary,HUN,2019,53.54
Iceland,ISL,2000,16.63
Iceland,ISL,2001,15.44
Iceland,ISL,2002,16.68
Iceland,ISL,2003,18.46
Iceland,ISL,2004,20.68
Iceland,ISL,2005,18.95
Iceland,ISL,2006,16.57
Iceland,ISL,2007,16.57
Iceland,ISL,2008,16.57
Iceland,ISL,2009,16.57
Iceland,ISL,2010,16.57
Iceland,ISL,2011,14.51
Iceland,ISL,2012,14.51
Iceland,ISL,2013,14.51
Iceland,ISL,2014,14.51
Iceland,ISL,2015,15.05
Iceland,ISL,2016,16.28
Iceland,ISL,2017,7.32
Iceland,ISL,2018,17.21
Iceland,ISL,2019,14.92
India,IND,2000,41.33
India,IND,2001,42.3
India,IND,2002,39.68
India,IND,2003,39.42
India,IND,2004,37.55
India,IND,2005,39.61
India,IND,2006,36.5
India,IND,2007,34.64
India,IND,2008,38.53
India,IND,2009,40.56
India,IND,2010,39.21
India,IND,2011,41.14
India,IND,2012,40.21
India,IND,2013,38.21
India,IND,2014,38.86
India,IND,2015,42.88
India,IND,2016,41.54
India,IND,2017,41.46
India,IND,2018,41.33
India,IND,2019,41.33
Indonesia,IDN,2000,35.7
Indonesia,IDN,2001,27.92
Indonesia,IDN,2002,28.01
Indonesia,IDN,2003,31.46
Indonesia,IDN,2004,30.72
Indonesia,IDN,2005,34.25
Indonesia,IDN,2006,32.5
Indonesia,IDN,2007,34.12
Indonesia,IDN,2008,39.49
Indonesia,IDN,2009,39.03
Indonesia,IDN,2010,39.68
Indonesia,IDN,2011,38.8
Indonesia,IDN,2012,37.41
Indonesia,IDN,2013,35.82
Indonesia,IDN,2014,34.89
Indonesia,IDN,2015,35.34
Indonesia,IDN,2016,30.97
Indonesia,IDN,2017,37.32
Indonesia,IDN,2018,37.32
Indonesia,IDN,2019,37.32
Iran,IRN,2000,41.55
Iran,IRN,2001,45.48
Iran,IRN,2002,42.7
Iran,IRN,2003,44.4
Iran,IRN,2004,42.74
Iran,IRN,2005,41.77
Iran,IRN,2006,43.16
Iran,IRN,2007,41.49
Iran,IRN,2008,41.22
Iran,IRN,2009,47.35
Iran,IRN,2010,45.68
Iran,IRN,2011,44.16
Iran,IRN,2012,40.86
Iran,IRN,2013,39.85
Iran,IRN,2014,45.47
Iran,IRN,2015,46.26
Iran,IRN,2016,44.94
Iran,IRN,2017,44.71
Iran,IRN,2018,44.71
Iran,IRN,2019,44.71
Iraq,IRQ,2000,1.52
Iraq,IRQ,2001,1.52
Iraq,IRQ,2002,1.52
Iraq,IRQ,2003,1.52
Iraq,IRQ,2004,1.52
Iraq,IRQ,2005,1.52
Iraq,IRQ,2006,1.52
