Entity,Code,Year,2.b.1 - Agricultural export subsidies (millions of current United States dollars) - AG_PRD_XSUBDY
Norway,NOR,2002,32741390.000000004
Norway,NOR,2003,45125740
Norway,NOR,2004,54859690
Norway,NOR,2005,51377570
Norway,NOR,2006,53326400
Norway,NOR,2007,40858690
Norway,NOR,2008,36471630
Norway,NOR,2009,39565330
Norway,NOR,2010,45399150
Norway,NOR,2011,40377490
Norway,NOR,2012,39776540
Norway,NOR,2013,44919150
Norway,NOR,2014,30720410
Norway,NOR,2015,16356649.999999998
Norway,NOR,2016,19821430
Norway,NOR,2017,15631040
Norway,NOR,2018,15406370
Norway,NOR,2019,14738640
Oceania,,1995,10500
Oceania,,1996,0
Oceania,,1997,0
Oceania,,1998,1260490
Oceania,,1999,2410770
Oceania,,2000,0
Oceania,,2001,0
Oceania,,2002,0
Oceania,,2003,0
Oceania,,2004,0
Oceania,,2005,0
Oceania,,2006,0
Oceania,,2007,0
Oceania,,2008,0
Oceania,,2009,0
Oceania,,2010,0
Oceania,,2011,0
Oceania,,2012,0
Oceania,,2013,0
Oceania,,2014,0
Oceania,,2015,0
Pakistan,PAK,1996,1700000
Pakistan,PAK,1997,2300000
Pakistan,PAK,1998,2900000
Pakistan,PAK,1999,2700000
Pakistan,PAK,2000,400000
Pakistan,PAK,2001,0
Pakistan,PAK,2002,0
Pakistan,PAK,2003,200000
Pakistan,PAK,2004,5800000
Pakistan,PAK,2005,18200000
Pakistan,PAK,2006,0
Pakistan,PAK,2007,3700000
Pakistan,PAK,2008,0
Pakistan,PAK,2009,0
Pakistan,PAK,2010,0
Pakistan,PAK,2011,0
Pakistan,PAK,2012,0
Pakistan,PAK,2013,0
Panama,PAN,1995,0
Panama,PAN,1996,0
Panama,PAN,1997,7620220
Panama,PAN,1998,10981630
Panama,PAN,1999,13069480
Panama,PAN,2000,15751770
Panama,PAN,2001,13523970
Panama,PAN,2002,10189190
Panama,PAN,2003,9566260
Poland,POL,1995,87000
Poland,POL,1996,15766320
Poland,POL,1997,8784080
Poland,POL,1998,13827780
Poland,POL,1999,55528980
Poland,POL,2000,36418000
Poland,POL,2001,21586590
Poland,POL,2002,18128370
Poland,POL,2003,37314570
Poland,POL,2004,28913770
Romania,ROU,1995,0
Romania,ROU,1996,0
Romania,ROU,1997,0
Romania,ROU,1998,2523780
Romania,ROU,1999,7063290
Romania,ROU,2000,4563740
Romania,ROU,2001,0
Romania,ROU,2002,0
Romania,ROU,2003,0
Romania,ROU,2004,18380
Romania,ROU,2005,20590
Romania,ROU,2006,53400
Slovakia,SVK,1995,8326210
Slovakia,SVK,1996,8152350
Slovakia,SVK,1997,12535640
Slovakia,SVK,1998,12275280
Slovakia,SVK,1999,11868140
Slovakia,SVK,2000,11612860
Slovakia,SVK,2001,6603270
Slovakia,SVK,2002,12081170
Slovakia,SVK,2003,15568520
Slovakia,SVK,2004,3853440
Small Island Developing States (SIDS),,1995,0
Small Island Developing States (SIDS),,1996,0
Small Island Developing States (SIDS),,1997,0
Small Island Developing States (SIDS),,1998,0
Small Island Developing States (SIDS),,1999,0
Small Island Developing States (SIDS),,2000,0
Small Island Developing States (SIDS),,2001,0
Small Island Developing States (SIDS),,2002,2550
Small Island Developing States (SIDS),,2003,5360
Small Island Developing States (SIDS),,2004,5010
Small Island Developing States (SIDS),,2005,2140
Small Island Developing States (SIDS),,2006,1260
Small Island Developing States (SIDS),,2007,99630
Small Island Developing States (SIDS),,2013,325730
Small Island Developing States (SIDS),,2014,489850
Small Island Developing States (SIDS),,2015,1141010
Small Island Developing States (SIDS),,2016,703390
Small Island Developing States (SIDS),,2017,145010
Small Island Developing States (SIDS),,2018,147360
Small Island Developing States (SIDS),,2019,56390
South Africa,ZAF,1995,40077220
South Africa,ZAF,1996,41647480
South Africa,ZAF,1997,18152450
South Africa,ZAF,1998,3385810
South Africa,ZAF,1999,4890400
South Africa,ZAF,2000,3169730
South Africa,ZAF,2001,0
South Africa,ZAF,2002,0
South Africa,ZAF,2003,0
South Africa,ZAF,2004,0
South Africa,ZAF,2005,0
South Africa,ZAF,2006,0
South Africa,ZAF,2007,0
South Africa,ZAF,2008,0
South Africa,ZAF,2009,0
South Africa,ZAF,2010,0
South Africa,ZAF,2011,0
South Africa,ZAF,2012,0
South Africa,ZAF,2013,0
South Africa,ZAF,2014,0
South Africa,ZAF,2015,0
South Africa,ZAF,2016,0
South America,,1995,18022020
South America,,1996,39021220
South America,,1997,25165280
South America,,1998,25616270
South America,,1999,0
South America,,2000,0
South America,,2001,0
South America,,2002,0
South America,,2003,0
South America,,2004,0
South America,,2005,0
South America,,2006,0
South America,,2007,0
South America,,2008,0
South America,,2009,0
South America,,2010,0
South America,,2011,0
South America,,2012,0
South America,,2013,0
South America,,2014,0
South America,,2015,0
South America,,2016,0
South America,,2017,0
South America,,2018,0
South America,,2019,0
South Korea,KOR,1995,1426210
South Korea,KOR,1996,2983390
South Korea,KOR,1997,3258740
South Korea,KOR,1998,2568790
South Korea,KOR,1999,12617590
South Korea,KOR,2000,16888340
South Korea,KOR,2001,20139510
South Korea,KOR,2002,21261490
South Korea,KOR,2003,20644270
South Korea,KOR,2004,22351850
South Korea,KOR,2005,28219440
South Korea,KOR,2006,30477890
South Korea,KOR,2007,31207720
South Korea,KOR,2008,29672060
South Korea,KOR,2009,31121520
South Korea,KOR,2010,34072600
South Korea,KOR,2011,32004199.999999996
South Korea,KOR,2012,32810440
South Korea,KOR,2013,28359970
South Korea,KOR,2014,30001140
South Korea,KOR,2015,29102870
South Korea,KOR,2016,31643440
South Korea,KOR,2017,35031230
South Korea,KOR,2018,22469430
South Korea,KOR,2019,29154350
South-eastern Asia,,1995,15200000
South-eastern Asia,,1996,6200000
South-eastern Asia,,1997,4500000
South-eastern Asia,,1998,0
South-eastern Asia,,1999,0
South-eastern Asia,,2000,0
South-eastern Asia,,2001,0
South-eastern Asia,,2002,0
South-eastern Asia,,2003,0
South-eastern Asia,,2004,0
South-eastern Asia,,2005,0
South-eastern Asia,,2006,0
South-eastern Asia,,2007,0
South-eastern Asia,,2008,0
South-eastern Asia,,2009,0
South-eastern Asia,,2010,0
South-eastern Asia,,2011,0
South-eastern Asia,,2012,0
South-eastern Asia,,2013,0
South-eastern Asia,,2014,0
South-eastern Asia,,2015,0
South-eastern Asia,,2016,0
South-eastern Asia,,2017,0
South-eastern Asia,,2018,0
South-eastern Asia,,2019,0
Southern Africa,,1995,40077220
Southern Africa,,1996,41647480
Southern Africa,,1997,18152450
Southern Africa,,1998,3385810
Southern Africa,,1999,4890400
Southern Africa,,2000,3169730
Southern Africa,,2001,0
Southern Africa,,2002,0
Southern Africa,,2003,0
Southern Africa,,2004,0
Southern Africa,,2005,0
Southern Africa,,2006,0
Southern Africa,,2007,0
Southern Africa,,2008,0
Southern Africa,,2009,0
Southern Africa,,2010,0
Southern Africa,,2011,0
Southern Africa,,2012,0
Southern Africa,,2013,0
Southern Africa,,2014,0
Southern Africa,,2015,0
Southern Africa,,2016,0
Southern Asia,,1995,2070500
Southern Asia,,1996,3800000
Southern Asia,,1997,6350180
Southern Asia,,1998,5400000
Southern Asia,,1999,5100000
Southern Asia,,2000,1500000
Southern Asia,,2001,1440000
Southern Asia,,2002,961000
Southern Asia,,2003,9520000
Southern Asia,,2004,18789000
Southern Asia,,2005,30610000
Southern Asia,,2006,10770000
Southern Asia,,2007,32299999.999999996
Southern Asia,,2008,64010000.00000001
Southern Asia,,2009,101990000
Southern Asia,,2010,8400000
Southern Asia,,2011,23930000
Southern Asia,,2012,17670000
Southern Asia,,2013,12050000
Southern Asia,,2014,0
Southern Asia,,2015,0
Southern Asia,,2016,0
Southern Asia,,2017,0
Sri Lanka,LKA,1995,0
Sri Lanka,LKA,1996,0
Sri Lanka,LKA,1997,150180
Sri Lanka,LKA,1998,0
Sri Lanka,LKA,1999,0
Sri Lanka,LKA,2000,0
Sri Lanka,LKA,2001,0
Sri Lanka,LKA,2002,0
Sri Lanka,LKA,2003,0
Sri Lanka,LKA,2004,0
Sri Lanka,LKA,2005,0
Sri Lanka,LKA,2006,0
Sri Lanka,LKA,2007,0
Sri Lanka,LKA,2008,0
Sri Lanka,LKA,2009,0
Sri Lanka,LKA,2010,0
Sri Lanka,LKA,2011,0
Sri Lanka,LKA,2012,0
Sri Lanka,LKA,2013,0
Sri Lanka,LKA,2014,0
Sri Lanka,LKA,2015,0
Sri Lanka,LKA,2016,0
Sri Lanka,LKA,2017,0
Sub-Saharan Africa,,1995,40077220
Sub-Saharan Africa,,1996,41647480
Sub-Saharan Africa,,1997,18152450
Sub-Saharan Africa,,1998,3385810
Sub-Saharan Africa,,1999,4890400
Sub-Saharan Africa,,2000,3169730
Sub-Saharan Africa,,2001,0
Sub-Saharan Africa,,2002,0
Sub-Saharan Africa,,2003,0
Sub-Saharan Africa,,2004,0
Sub-Saharan Africa,,2005,0
Sub-Saharan Africa,,2006,0
Sub-Saharan Africa,,2007,99630
Sub-Saharan Africa,,2008,0
Sub-Saharan Africa,,2009,0
Sub-Saharan Africa,,2010,0
Sub-Saharan Africa,,2011,0
Sub-Saharan Africa,,2012,0
Sub-Saharan Africa,,2013,325730
Sub-Saharan Africa,,2014,489850
Sub-Saharan Africa,,2015,1141010
Sub-Saharan Africa,,2016,703390
Sub-Saharan Africa,,2017,145010
Sub-Saharan Africa,,2018,147360
Sub-Saharan Africa,,2019,56390
Sub-Saharan Africa (inc. Sudan),,1995,40077220
Sub-Saharan Africa (inc. Sudan),,1996,41647480
Sub-Saharan Africa (inc. Sudan),,1997,18152450
Sub-Saharan Africa (inc. Sudan),,1998,3385810
Sub-Saharan Africa (inc. Sudan),,1999,4890400
Sub-Saharan Africa (inc. Sudan),,2000,3169730
Sub-Saharan Africa (inc. Sudan),,2001,0
Sub-Saharan Africa (inc. Sudan),,2002,0
Sub-Saharan Africa (inc. Sudan),,2003,0
Sub-Saharan Africa (inc. Sudan),,2004,0
Sub-Saharan Africa (inc. Sudan),,2005,0
Sub-Saharan Africa (inc. Sudan),,2006,0
Sub-Saharan Africa (inc. Sudan),,2007,99630
Sub-Saharan Africa (inc. Sudan),,2008,0
Sub-Saharan Africa (inc. Sudan),,2009,0
Sub-Saharan Africa (inc. Sudan),,2010,0
Sub-Saharan Africa (inc. Sudan),,2011,0
Sub-Saharan Africa (inc. Sudan),,2012,0
Sub-Saharan Africa (inc. Sudan),,2013,325730
Sub-Saharan Africa (inc. Sudan),,2014,489850
Sub-Saharan Africa (inc. Sudan),,2015,1141010
Sub-Saharan Africa (inc. Sudan),,2016,703390
Sub-Saharan Africa (inc. Sudan),,2017,145010
Sub-Saharan Africa (inc. Sudan),,2018,147360
Sub-Saharan Africa (inc. Sudan),,2019,56390
Switzerland,CHE,1995,446692410
Switzerland,CHE,1996,368605430
Switzerland,CHE,1997,295249990
Switzerland,CHE,1998,292037600
Switzerland,CHE,1999,290183100
Switzerland,CHE,2000,188472280
Switzerland,CHE,2001,131641990
Switzerland,CHE,2002,135839840
Switzerland,CHE,2003,153046350
Switzerland,CHE,2004,147511550
Switzerland,CHE,2005,113590310
Switzerland,CHE,2006,109152390
Switzerland,CHE,2007,85532260
Switzerland,CHE,2008,96196990
Switzerland,CHE,2009,110858720
Switzerland,CHE,2010,73602060
Switzerland,CHE,2011,86025210
Switzerland,CHE,2012,68560380
Switzerland,CHE,2013,75598710
Switzerland,CHE,2014,76504370
Switzerland,CHE,2015,99442830
Switzerland,CHE,2016,96075240
Switzerland,CHE,2017,96066830
Switzerland,CHE,2018,96739560
Switzerland,CHE,2019,0
Thailand,THA,1995,15200000
Thailand,THA,1996,6200000
Thailand,THA,1997,4500000
Thailand,THA,1998,0
Thailand,THA,1999,0
Thailand,THA,2000,0
Thailand,THA,2001,0
Thailand,THA,2002,0
Thailand,THA,2003,0
Thailand,THA,2004,0
Thailand,THA,2005,0
Thailand,THA,2006,0
Thailand,THA,2007,0
Thailand,THA,2008,0
Thailand,THA,2009,0
Thailand,THA,2010,0
Thailand,THA,2011,0
Thailand,THA,2012,0
Thailand,THA,2013,0
Thailand,THA,2014,0
Thailand,THA,2015,0
Thailand,THA,2016,0
Thailand,THA,2017,0
Thailand,THA,2018,0
Thailand,THA,2019,0
Tunisia,TUN,1995,740
Tunisia,TUN,1996,1849170
Tunisia,TUN,1997,5390680
Tunisia,TUN,1998,6049400
Tunisia,TUN,1999,5632150
Tunisia,TUN,2000,6110310
Tunisia,TUN,2001,3690100
Tunisia,TUN,2002,3274310
Tunisia,TUN,2003,5670020
Tunisia,TUN,2004,3691180
Tunisia,TUN,2005,6108370
Tunisia,TUN,2006,2631770
Tunisia,TUN,2007,8284509.999999999
Tunisia,TUN,2008,4178079.9999999995
Tunisia,TUN,2009,3631890
Tunisia,TUN,2010,3296740
Tunisia,TUN,2011,2253660
Tunisia,TUN,2012,2846900
Tunisia,TUN,2013,3705130
Tunisia,TUN,2014,3119610
Tunisia,TUN,2016,3169840
Tunisia,TUN,2017,4276480
Tunisia,TUN,2018,5788620
Tunisia,TUN,2019,5630220
Turkey,TUR,1995,29872280
Turkey,TUR,1996,17209090
Turkey,TUR,1997,38697290
Turkey,TUR,1998,29080170
Turkey,TUR,1999,27996380
Turkey,TUR,2000,27332390
Turkey,TUR,2001,18304280
Turkey,TUR,2002,13619880
Turkey,TUR,2003,12974140
Turkey,TUR,2004,10760450
Turkey,TUR,2005,10405680
Turkey,TUR,2006,10711230
Turkey,TUR,2007,10896910
Turkey,TUR,2008,10814890
Turkey,TUR,2009,12190570
Turkey,TUR,2010,10821850
Turkey,TUR,2011,19754810
Turkey,TUR,2012,17635100
Turkey,TUR,2013,17224040
United States,USA,1995,25578000
United States,USA,1996,121463000
United States,USA,1997,112227190
United States,USA,1998,146707930
United States,USA,1999,80163550
United States,USA,2000,15311510
United States,USA,2001,54615270
United States,USA,2002,31525990
United States,USA,2003,2684540
United States,USA,2004,0
United States,USA,2005,0
United States,USA,2006,0
United States,USA,2007,0
United States,USA,2008,18893820
United States,USA,2009,2371430
United States,USA,2010,0
United States,USA,2011,0
United States,USA,2012,0
United States,USA,2013,0
United States,USA,2014,0
United States,USA,2015,0
Uruguay,URY,1995,0
Uruguay,URY,1996,0
Uruguay,URY,1997,0
Uruguay,URY,1998,0
Uruguay,URY,1999,0
Uruguay,URY,2000,0
Uruguay,URY,2001,0
Uruguay,URY,2002,0
Uruguay,URY,2003,0
Uruguay,URY,2004,0
Uruguay,URY,2005,0
Uruguay,URY,2006,0
Uruguay,URY,2007,0
Uruguay,URY,2008,0
Uruguay,URY,2009,0
Uruguay,URY,2010,0
Uruguay,URY,2011,0
Uruguay,URY,2012,0
Uruguay,URY,2013,0
Uruguay,URY,2014,0
Uruguay,URY,2015,0
Uruguay,URY,2016,0
Uruguay,URY,2017,0
Uruguay,URY,2018,0
Venezuela,VEN,1995,3235820
Venezuela,VEN,1996,20064530
Venezuela,VEN,1997,2365100
Venezuela,VEN,1998,5501270
Western Asia,,1995,33312700
Western Asia,,1996,32925970
Western Asia,,1997,46478690
Western Asia,,1998,33518859.999999996
Western Asia,,1999,32609740.000000004
Western Asia,,2000,29922810
Western Asia,,2001,26877180
Western Asia,,2002,23736580
Western Asia,,2003,19458060
Western Asia,,2004,12321100
Western Asia,,2005,11106880
Western Asia,,2006,10880830
Western Asia,,2007,10896910
Western Asia,,2008,11003990
Western Asia,,2009,13555330
Western Asia,,2010,12438540
Western Asia,,2011,21731810
Western Asia,,2012,18432650
Western Asia,,2013,18283040
Western Asia,,2014,1815250
Western Asia,,2015,1133150
Western Asia,,2016,580740
Western Asia,,2017,1403760
Western Asia,,2018,242010
Western Asia,,2019,0
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,1995,29872280
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,1996,17209090
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,1997,38697290
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,1998,29080170
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,1999,27996380
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,27332390
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2001,18304280
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2002,13619880
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2003,12974140
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2004,10760450
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,10405680
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2006,10711230
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2007,10896910
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2008,10814890
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2009,12190570
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,10821850
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2011,19754810
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2012,17635100
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2013,17224040
Western Europe,,1995,4222549589.9999995
Western Europe,,1996,4813868220
Western Europe,,1997,4156747950
Western Europe,,1998,5049540070
Western Europe,,1999,6270938350
Western Europe,,2000,2734259900
Western Europe,,2001,2434171720
Western Europe,,2002,3084590570
Western Europe,,2003,3495581110
Western Europe,,2004,3416712470
Western Europe,,2005,2501915430
Western Europe,,2006,1943207230
Western Europe,,2007,1248763000
Western Europe,,2008,756540770
Western Europe,,2009,633750260
Western Europe,,2010,303787030
Western Europe,,2011,272998190
Western Europe,,2012,144431490
Western Europe,,2013,75646510
Western Europe,,2014,76504370
Western Europe,,2015,99442830
Western Europe,,2016,96075240
Western Europe,,2017,96066830
Western Europe,,2018,96739560
Western Europe,,2019,0
World,OWID_WRL,1995,4586658800
World,OWID_WRL,1996,5239617540
World,OWID_WRL,1997,4620014630
World,OWID_WRL,1998,5464123320
World,OWID_WRL,1999,6691782140
World,OWID_WRL,2000,2976470180
World,OWID_WRL,2001,2664634980
World,OWID_WRL,2002,3335124540
World,OWID_WRL,2003,3845826590
World,OWID_WRL,2004,3707518210
World,OWID_WRL,2005,2734553540
World,OWID_WRL,2006,2170994590
World,OWID_WRL,2007,1484729500
World,OWID_WRL,2008,1026564850
World,OWID_WRL,2009,924711200
World,OWID_WRL,2010,513041960
World,OWID_WRL,2011,507751470
World,OWID_WRL,2012,367071370
World,OWID_WRL,2013,268950870
World,OWID_WRL,2014,230695180
World,OWID_WRL,2015,217738460
World,OWID_WRL,2016,209636100
World,OWID_WRL,2017,197797920
World,OWID_WRL,2018,185501160
World,OWID_WRL,2019,58422720
