Entity,Code,Year,12.c.1 - Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%) - ER_FFS_CMPT_GDP
Mozambique,MOZ,2019,0
Mozambique,MOZ,2020,0
Myanmar,MMR,2015,0.48851
Myanmar,MMR,2016,0.33377
Myanmar,MMR,2017,1.1001
Myanmar,MMR,2018,1.50812
Myanmar,MMR,2019,1.04075
Myanmar,MMR,2020,0.92843
Namibia,NAM,2015,0
Namibia,NAM,2016,0
Namibia,NAM,2017,0
Namibia,NAM,2018,0
Namibia,NAM,2019,0
Namibia,NAM,2020,0
Nauru,NRU,2015,0
Nauru,NRU,2016,0
Nauru,NRU,2017,0
Nauru,NRU,2018,0
Nauru,NRU,2019,0
Nauru,NRU,2020,0.009
Nepal,NPL,2015,0.1963
Nepal,NPL,2016,0.47324
Nepal,NPL,2017,0.42793
Nepal,NPL,2018,0.18145
Nepal,NPL,2019,0.08031
Nepal,NPL,2020,0.02887
Netherlands,NLD,2015,0.02263
Netherlands,NLD,2016,0.04153
Netherlands,NLD,2017,0.04331
Netherlands,NLD,2018,0.04366
Netherlands,NLD,2019,0.0424
Netherlands,NLD,2020,0.04058
New Zealand,NZL,2015,0.00667
New Zealand,NZL,2016,0.00641
New Zealand,NZL,2017,0.00189
New Zealand,NZL,2018,0.00338
New Zealand,NZL,2019,0.00676
New Zealand,NZL,2020,0.00768
Nicaragua,NIC,2015,0
Nicaragua,NIC,2016,0.20691
Nicaragua,NIC,2017,0.1826
Nicaragua,NIC,2018,0.18076
Nicaragua,NIC,2019,0.18175
Nicaragua,NIC,2020,0.17381
Niger,NER,2015,0.51281
Niger,NER,2016,0.51349
Niger,NER,2017,0.68968
Niger,NER,2018,0.93866
Niger,NER,2019,1.0794
Niger,NER,2020,0.93269
Nigeria,NGA,2015,0.17648
Nigeria,NGA,2016,0.01193
Nigeria,NGA,2017,0.19229
Nigeria,NGA,2018,0.46032
Nigeria,NGA,2019,0.34195
Nigeria,NGA,2020,0.08266
North Macedonia,MKD,2015,0.31362
North Macedonia,MKD,2016,0.18673
North Macedonia,MKD,2017,1.48696
North Macedonia,MKD,2018,1.37109
North Macedonia,MKD,2019,1.41647
North Macedonia,MKD,2020,0.75221
Northern Africa,,2015,4.57083
Northern Africa,,2016,2.95822
Northern Africa,,2017,4.21462
Northern Africa,,2018,6.1608
Northern Africa,,2019,3.88338
Northern Africa,,2020,2.65729
Northern Africa and Western Asia,,2015,3.32121
Northern Africa and Western Asia,,2016,2.27293
Northern Africa and Western Asia,,2017,2.74588
Northern Africa and Western Asia,,2018,3.33455
Northern Africa and Western Asia,,2019,2.31885
Northern Africa and Western Asia,,2020,1.54239
Northern America,,2015,0.05544
Northern America,,2016,0.04527
Northern America,,2017,0.04328
Northern America,,2018,0.04599
Northern America,,2019,0.05482
Northern America,,2020,0.0589
Northern Europe,,2015,0.60788
Northern Europe,,2016,0.45019
Northern Europe,,2017,0.46363
Northern Europe,,2018,0.42008
Northern Europe,,2019,0.4214
Northern Europe,,2020,0.41103
Norway,NOR,2015,0.13524
Norway,NOR,2016,0.12364
Norway,NOR,2017,0.11305
Norway,NOR,2018,0.09738
Norway,NOR,2019,0.09139
Norway,NOR,2020,0.08116
Oceania,,2015,0.3018
Oceania,,2016,0.47809
Oceania,,2017,0.5298
Oceania,,2018,0.48954
Oceania,,2019,0.48639
Oceania,,2020,0.47576
Oceania (exc. Australia and New Zealand),,2015,0
Oceania (exc. Australia and New Zealand),,2016,0.05956
Oceania (exc. Australia and New Zealand),,2017,0.07708
Oceania (exc. Australia and New Zealand),,2018,0.50097
Oceania (exc. Australia and New Zealand),,2019,0.64646
Oceania (exc. Australia and New Zealand),,2020,0.72855
Oman,OMN,2015,0.13717
Oman,OMN,2016,0.13333
Oman,OMN,2017,0.16286
Oman,OMN,2018,0.19818
Oman,OMN,2019,0.1584
Oman,OMN,2020,0.15634
Pakistan,PAK,2015,1.21634
Pakistan,PAK,2016,0.60887
Pakistan,PAK,2017,1.19769
Pakistan,PAK,2018,2.00253
Pakistan,PAK,2019,0.51992
Pakistan,PAK,2020,0.4304
Palestine,PSE,2015,3.22553
Palestine,PSE,2016,2.29641
Palestine,PSE,2017,4.17896
Palestine,PSE,2018,6.9849
Palestine,PSE,2019,6.32373
Palestine,PSE,2020,5.06875
Panama,PAN,2015,0
Panama,PAN,2016,0
Panama,PAN,2017,0
Panama,PAN,2018,0.01595
Panama,PAN,2019,0
Panama,PAN,2020,0
Papua New Guinea,PNG,2015,0
Papua New Guinea,PNG,2016,0
Papua New Guinea,PNG,2017,0
Papua New Guinea,PNG,2018,0.82481
Papua New Guinea,PNG,2019,1.15925
Papua New Guinea,PNG,2020,1.42892
Paraguay,PRY,2015,0.05763
Paraguay,PRY,2016,0.12973
Paraguay,PRY,2017,0.02729
Paraguay,PRY,2018,0.01307
Paraguay,PRY,2019,0.10182
Paraguay,PRY,2020,0.18524
Peru,PER,2015,0
Peru,PER,2016,0
Peru,PER,2017,0
Peru,PER,2018,0.50891
Peru,PER,2019,0.11317
Peru,PER,2020,0.08101
Philippines,PHL,2015,0.19566
Philippines,PHL,2016,0.21925
Philippines,PHL,2017,0.13229
Philippines,PHL,2018,0.17542
Philippines,PHL,2019,0.00544
Philippines,PHL,2020,0.00961
Poland,POL,2015,0.27391
Poland,POL,2016,0.3519
Poland,POL,2017,0.35176
Poland,POL,2018,0.50779
Poland,POL,2019,0.28857
Poland,POL,2020,0.30268
Portugal,PRT,2015,0.12201
Portugal,PRT,2016,0.13391
Portugal,PRT,2017,0.21428
Portugal,PRT,2018,0.20576
Portugal,PRT,2019,0.2291
Portugal,PRT,2020,0.27403
Puerto Rico,PRI,2015,0
Puerto Rico,PRI,2016,0
Puerto Rico,PRI,2017,0
Puerto Rico,PRI,2018,0
Puerto Rico,PRI,2019,0
Puerto Rico,PRI,2020,0
Qatar,QAT,2015,2.02328
Qatar,QAT,2016,0.69068
Qatar,QAT,2017,1.01839
Qatar,QAT,2018,1.50888
Qatar,QAT,2019,0.31664
Qatar,QAT,2020,0.31329
Romania,ROU,2015,0.46909
Romania,ROU,2016,0.28866
Romania,ROU,2017,0.38633
Romania,ROU,2018,0.36202
Romania,ROU,2019,0.33139
Romania,ROU,2020,0.23387
Russia,RUS,2015,0.33486
Russia,RUS,2016,0.51047
Russia,RUS,2017,0.73648
Russia,RUS,2018,1.21073
Russia,RUS,2019,1.02659
Russia,RUS,2020,0.65359
Rwanda,RWA,2015,0.02927
Rwanda,RWA,2016,0.01796
Rwanda,RWA,2017,0.02398
Rwanda,RWA,2018,0.03366
Rwanda,RWA,2019,0.04931
Rwanda,RWA,2020,0.36113
Saint Kitts and Nevis,KNA,2015,0
Saint Kitts and Nevis,KNA,2016,0
Saint Kitts and Nevis,KNA,2017,0
Saint Kitts and Nevis,KNA,2018,0.32176
Saint Kitts and Nevis,KNA,2019,0.38432
Saint Kitts and Nevis,KNA,2020,0
Saint Lucia,LCA,2015,0.02195
Saint Lucia,LCA,2016,0.02148
Saint Lucia,LCA,2017,0
Saint Lucia,LCA,2018,0.04555
Saint Lucia,LCA,2019,0.01082
Saint Lucia,LCA,2020,0
Saint Vincent and the Grenadines,VCT,2015,0.36789
Saint Vincent and the Grenadines,VCT,2016,0.35474
Saint Vincent and the Grenadines,VCT,2017,0.41752
Saint Vincent and the Grenadines,VCT,2018,0.54576
Saint Vincent and the Grenadines,VCT,2019,0.5515
Saint Vincent and the Grenadines,VCT,2020,0.5011
Samoa,WSM,2015,0
Samoa,WSM,2016,0
Samoa,WSM,2017,0
Samoa,WSM,2018,0
Samoa,WSM,2019,0
Samoa,WSM,2020,0
Sao Tome and Principe,STP,2015,0
Sao Tome and Principe,STP,2016,0
Sao Tome and Principe,STP,2017,0
Sao Tome and Principe,STP,2018,1.17957
Sao Tome and Principe,STP,2019,1.41101
Sao Tome and Principe,STP,2020,0.71525
Saudi Arabia,SAU,2015,7.7384
Saudi Arabia,SAU,2016,5.05221
Saudi Arabia,SAU,2017,5.66093
Saudi Arabia,SAU,2018,5.44259
Saudi Arabia,SAU,2019,4.02535
Saudi Arabia,SAU,2020,2.61304
Senegal,SEN,2015,0
Senegal,SEN,2016,0
Senegal,SEN,2017,0.01455
Senegal,SEN,2018,0.07051
Senegal,SEN,2019,0.28954
Senegal,SEN,2020,0.00564
Serbia,SRB,2015,0.21388
Serbia,SRB,2016,0.15443
Serbia,SRB,2017,0.86903
Serbia,SRB,2018,0.86092
Serbia,SRB,2019,1.01711
Serbia,SRB,2020,0.68864
Seychelles,SYC,2015,0
Seychelles,SYC,2016,0
Seychelles,SYC,2017,0
Seychelles,SYC,2018,0
Seychelles,SYC,2019,0
Seychelles,SYC,2020,0.00161
Sierra Leone,SLE,2015,0
Sierra Leone,SLE,2016,0
Sierra Leone,SLE,2017,0
Sierra Leone,SLE,2018,0
Sierra Leone,SLE,2019,0.08621
Sierra Leone,SLE,2020,0.10061
Singapore,SGP,2015,1.62088
Singapore,SGP,2016,1.10626
Singapore,SGP,2017,1.53552
Singapore,SGP,2018,2.32472
Singapore,SGP,2019,2.26649
Singapore,SGP,2020,2.54313
Slovakia,SVK,2015,0.26872
Slovakia,SVK,2016,0.26716
Slovakia,SVK,2017,0.26383
Slovakia,SVK,2018,0.29915
Slovakia,SVK,2019,0.27283
Slovakia,SVK,2020,0.26198
Slovenia,SVN,2015,0.37023
Slovenia,SVN,2016,0.38199
Slovenia,SVN,2017,0.38901
Slovenia,SVN,2018,0.35187
Slovenia,SVN,2019,0.26991
Slovenia,SVN,2020,0.25476
Small Island Developing States (SIDS),,2015,0.85266
Small Island Developing States (SIDS),,2016,0.60262
Small Island Developing States (SIDS),,2017,0.81711
Small Island Developing States (SIDS),,2018,1.23519
Small Island Developing States (SIDS),,2019,1.2109
Small Island Developing States (SIDS),,2020,1.2864
Solomon Islands,SLB,2015,0
Solomon Islands,SLB,2016,0
Solomon Islands,SLB,2017,0
Solomon Islands,SLB,2018,0
Solomon Islands,SLB,2019,0
Solomon Islands,SLB,2020,0
Somalia,SOM,2015,0.00435
Somalia,SOM,2016,0.0037
Somalia,SOM,2017,0.00433
Somalia,SOM,2018,0.00522
Somalia,SOM,2019,0.00518
Somalia,SOM,2020,0.00808
South Africa,ZAF,2015,1.07765
South Africa,ZAF,2016,0.84482
South Africa,ZAF,2017,0.95283
South Africa,ZAF,2018,1.13536
South Africa,ZAF,2019,1.28776
South Africa,ZAF,2020,1.43132
South America,,2015,1.61657
South America,,2016,1.40587
South America,,2017,1.22492
South America,,2018,1.24693
South America,,2019,0.82241
South America,,2020,0.54504
South Korea,KOR,2015,0.1185
South Korea,KOR,2016,0.09226
South Korea,KOR,2017,0.09332
South Korea,KOR,2018,0.0915
South Korea,KOR,2019,0.08532
South Korea,KOR,2020,0.08336
South Sudan,SSD,2015,0.84515
South Sudan,SSD,2016,0
South Sudan,SSD,2017,0
South Sudan,SSD,2018,0
South Sudan,SSD,2019,0
South Sudan,SSD,2020,0
South-eastern Asia,,2015,0.71374
South-eastern Asia,,2016,0.62149
South-eastern Asia,,2017,0.62842
South-eastern Asia,,2018,0.74955
South-eastern Asia,,2019,0.76768
South-eastern Asia,,2020,0.93125
Southern Africa,,2015,0.97907
Southern Africa,,2016,0.7663
Southern Africa,,2017,0.86446
Southern Africa,,2018,1.02848
Southern Africa,,2019,1.16442
Southern Africa,,2020,1.29499
Southern Asia,,2015,2.0725
Southern Asia,,2016,1.2277
Southern Asia,,2017,1.75812
Southern Asia,,2018,2.47598
Southern Asia,,2019,2.45228
Southern Asia,,2020,1.0635
Southern Europe,,2015,0.46104
Southern Europe,,2016,0.43037
Southern Europe,,2017,0.40476
Southern Europe,,2018,0.43522
Southern Europe,,2019,0.42867
Southern Europe,,2020,0.43295
Spain,ESP,2015,0.17943
Spain,ESP,2016,0.16018
Spain,ESP,2017,0.15046
Spain,ESP,2018,0.15623
Spain,ESP,2019,0.134
Spain,ESP,2020,0.14214
Sri Lanka,LKA,2015,0.18293
Sri Lanka,LKA,2016,0.0874
Sri Lanka,LKA,2017,0.22791
Sri Lanka,LKA,2018,0.42272
Sri Lanka,LKA,2019,0.39502
Sri Lanka,LKA,2020,0.27191
Sub-Saharan Africa,,2015,0.37591
Sub-Saharan Africa,,2016,0.27264
Sub-Saharan Africa,,2017,0.37055
Sub-Saharan Africa,,2018,0.61602
Sub-Saharan Africa,,2019,0.54581
Sub-Saharan Africa,,2020,0.47802
Sudan,SDN,2015,1.70139
Sudan,SDN,2016,0.99019
Sudan,SDN,2017,2.14331
Sudan,SDN,2018,5.66468
Sudan,SDN,2019,1.92474
Sudan,SDN,2020,2.26997
Suriname,SUR,2015,4.70181
Suriname,SUR,2016,4.39149
Suriname,SUR,2017,3.0235
Suriname,SUR,2018,3.49983
Suriname,SUR,2019,3.55473
Suriname,SUR,2020,4.45035
Sweden,SWE,2015,0.28492
Sweden,SWE,2016,0.27686
Sweden,SWE,2017,0.26913
Sweden,SWE,2018,0.24234
Sweden,SWE,2019,0.30977
Sweden,SWE,2020,0.31438
Switzerland,CHE,2015,0.3497
Switzerland,CHE,2016,0.3475
Switzerland,CHE,2017,0.33394
Switzerland,CHE,2018,0.33776
Switzerland,CHE,2019,0.34084
Switzerland,CHE,2020,0.20829
Syria,SYR,2015,0
Syria,SYR,2016,0
Syria,SYR,2017,0
Tajikistan,TJK,2015,6.33561
Tajikistan,TJK,2016,6.18124
Tajikistan,TJK,2017,6.54152
Tajikistan,TJK,2018,5.55219
Tajikistan,TJK,2019,5.9269
Tajikistan,TJK,2020,5.68409
Thailand,THA,2015,0.2201
Thailand,THA,2016,0.12164
Thailand,THA,2017,0.19433
Thailand,THA,2018,0.23506
Thailand,THA,2019,0.09383
Thailand,THA,2020,0.09614
Timor,TLS,2015,2.05732
Timor,TLS,2016,0.74021
Timor,TLS,2017,2.27719
Timor,TLS,2018,4.6202
Timor,TLS,2019,4.70623
Timor,TLS,2020,2.78945
Togo,TGO,2015,0.28587
Togo,TGO,2016,0.18979
Togo,TGO,2017,0.6137
Togo,TGO,2018,1.11547
Togo,TGO,2019,1.43618
Togo,TGO,2020,0.97187
Tonga,TON,2015,0
Tonga,TON,2016,0
Tonga,TON,2017,0
Tonga,TON,2018,0
Tonga,TON,2019,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2015,3.26245
Trinidad and Tobago,TTO,2016,2.36844
Trinidad and Tobago,TTO,2017,2.71344
Trinidad and Tobago,TTO,2018,3.11618
Trinidad and Tobago,TTO,2019,2.27679
Trinidad and Tobago,TTO,2020,1.52076
Tunisia,TUN,2015,2.67846
Tunisia,TUN,2016,1.24268
Tunisia,TUN,2017,2.29421
Tunisia,TUN,2018,3.94131
Tunisia,TUN,2019,1.8475
Tunisia,TUN,2020,0.82404
Turkey,TUR,2015,0.5096
Turkey,TUR,2016,0.50909
Turkey,TUR,2017,0.56455
Turkey,TUR,2018,0.47851
Turkey,TUR,2019,0.44688
Turkey,TUR,2020,0.3255
Turkmenistan,TKM,2015,13.89513
Turkmenistan,TKM,2016,10.42613
Turkmenistan,TKM,2017,10.84037
Turkmenistan,TKM,2018,12.91667
Turkmenistan,TKM,2019,8.90922
Turkmenistan,TKM,2020,4.84316
Uganda,UGA,2015,0
Uganda,UGA,2016,0
Uganda,UGA,2017,0
Uganda,UGA,2018,0
Uganda,UGA,2019,0
Uganda,UGA,2020,0.00086
Ukraine,UKR,2015,1.12811
Ukraine,UKR,2016,1.88141
Ukraine,UKR,2017,2.70075
Ukraine,UKR,2018,2.59431
Ukraine,UKR,2019,1.9901
Ukraine,UKR,2020,2.87511
United Arab Emirates,ARE,2015,3.08576
United Arab Emirates,ARE,2016,2.24216
United Arab Emirates,ARE,2017,2.45555
United Arab Emirates,ARE,2018,3.21921
United Arab Emirates,ARE,2019,1.95563
United Arab Emirates,ARE,2020,1.51119
United Kingdom,GBR,2015,0.74768
United Kingdom,GBR,2016,0.49766
United Kingdom,GBR,2017,0.51172
United Kingdom,GBR,2018,0.43426
United Kingdom,GBR,2019,0.43898
United Kingdom,GBR,2020,0.4382
United States,USA,2015,0.0481
United States,USA,2016,0.03605
United States,USA,2017,0.03396
United States,USA,2018,0.03866
United States,USA,2019,0.04835
United States,USA,2020,0.04641
Uruguay,URY,2015,0
Uruguay,URY,2016,0
Uruguay,URY,2017,0
Uruguay,URY,2018,0
Uruguay,URY,2019,0
Uruguay,URY,2020,0
Uzbekistan,UZB,2015,7.04826
Uzbekistan,UZB,2016,4.76046
Uzbekistan,UZB,2017,7.07216
Uzbekistan,UZB,2018,8.86339
Uzbekistan,UZB,2019,5.26905
Uzbekistan,UZB,2020,3.69863
Vanuatu,VUT,2015,0
Vanuatu,VUT,2016,0
Vanuatu,VUT,2017,0
Vanuatu,VUT,2018,0
Vanuatu,VUT,2019,0
Vanuatu,VUT,2020,0
Venezuela,VEN,2015,5.22733
Venezuela,VEN,2016,4.7569
Venezuela,VEN,2017,6.63241
Venezuela,VEN,2018,9.05085
Venezuela,VEN,2019,5.8667
Venezuela,VEN,2020,4.8578
Vietnam,VNM,2015,0.03951
Vietnam,VNM,2016,0.05022
Vietnam,VNM,2017,0.08456
Vietnam,VNM,2018,0.26388
Vietnam,VNM,2019,0.12234
Vietnam,VNM,2020,0.10487
Western Africa,,2015,0.18072
Western Africa,,2016,0.04821
Western Africa,,2017,0.19459
Western Africa,,2018,0.41823
Western Africa,,2019,0.35054
Western Africa,,2020,0.15844
Western Asia,,2015,3.0009
Western Asia,,2016,2.09722
Western Asia,,2017,2.35857
Western Asia,,2018,2.57759
Western Asia,,2019,1.90246
Western Asia,,2020,1.24773
Western Europe,,2015,0.25251
Western Europe,,2016,0.26831
Western Europe,,2017,0.27305
Western Europe,,2018,0.30208
Western Europe,,2019,0.29095
Western Europe,,2020,0.29454
World,OWID_WRL,2015,0.72245
World,OWID_WRL,2016,0.61934
World,OWID_WRL,2017,0.65175
World,OWID_WRL,2018,0.79605
World,OWID_WRL,2019,0.62356
World,OWID_WRL,2020,0.4604
Yemen,YEM,2015,1.58825
Yemen,YEM,2016,0
Yemen,YEM,2017,0
Yemen,YEM,2018,0
Yemen,YEM,2019,0
Yemen,YEM,2020,0.00194
Zambia,ZMB,2015,0.72947
Zambia,ZMB,2016,0.51791
Zambia,ZMB,2017,1.27271
Zambia,ZMB,2018,0.84773
Zambia,ZMB,2019,0.8487
Zambia,ZMB,2020,0.82254
Zimbabwe,ZWE,2015,0
Zimbabwe,ZWE,2016,0
Zimbabwe,ZWE,2017,0
Zimbabwe,ZWE,2018,0
Zimbabwe,ZWE,2019,0
Zimbabwe,ZWE,2020,0
