Entity,Code,Year,"3.9.3 - Mortality rate attributed to unintentional poisonings, by sex (deaths per 100,000 population) - SH_STA_POISN - Both sexes"
South Africa,ZAF,2005,2.1
South Africa,ZAF,2010,2
South Africa,ZAF,2015,1.9
South Africa,ZAF,2019,1.7
South Korea,KOR,2000,0.8
South Korea,KOR,2005,0.5
South Korea,KOR,2010,0.4
South Korea,KOR,2015,0.3
South Korea,KOR,2019,0.2
South Sudan,SSD,2000,2.8
South Sudan,SSD,2005,2.8
South Sudan,SSD,2010,2.3
South Sudan,SSD,2015,2
South Sudan,SSD,2019,2.3
South-eastern Asia,,2000,0.8
South-eastern Asia,,2005,0.7
South-eastern Asia,,2010,0.6
South-eastern Asia,,2015,0.5
South-eastern Asia,,2019,0.5
Southern Asia,,2000,0.9
Southern Asia,,2005,0.7
Southern Asia,,2010,0.7
Southern Asia,,2015,0.5
Southern Asia,,2019,0.5
Spain,ESP,2000,0.4
Spain,ESP,2005,0.6
Spain,ESP,2010,0.5
Spain,ESP,2015,0.3
Spain,ESP,2019,0.4
Sri Lanka,LKA,2000,1.1
Sri Lanka,LKA,2005,1.1
Sri Lanka,LKA,2010,0.5
Sri Lanka,LKA,2015,0.5
Sri Lanka,LKA,2019,0.4
Sub-Saharan Africa,,2000,3.5
Sub-Saharan Africa,,2005,3.3
Sub-Saharan Africa,,2010,3.2
Sub-Saharan Africa,,2015,2.8
Sub-Saharan Africa,,2019,2.6
Sudan,SDN,2000,2.9
Sudan,SDN,2005,2.6
Sudan,SDN,2010,2.5
Sudan,SDN,2015,2.2
Sudan,SDN,2019,1.7
Suriname,SUR,2000,0.4
Suriname,SUR,2005,0.3
Suriname,SUR,2010,0.3
Suriname,SUR,2015,0.3
Suriname,SUR,2019,0.3
Sweden,SWE,2000,0.2
Sweden,SWE,2005,0.2
Sweden,SWE,2010,0.3
Sweden,SWE,2015,0.2
Sweden,SWE,2019,0.2
Switzerland,CHE,2000,0.2
Switzerland,CHE,2005,0.1
Switzerland,CHE,2010,0.2
Switzerland,CHE,2015,0.2
Switzerland,CHE,2019,0.2
Syria,SYR,2000,0.5
Syria,SYR,2005,0.4
Syria,SYR,2010,0.4
Syria,SYR,2015,0.7
Syria,SYR,2019,0.6
Tajikistan,TJK,2000,1.9
Tajikistan,TJK,2005,1.3
Tajikistan,TJK,2010,0.9
Tajikistan,TJK,2015,0.4
Tajikistan,TJK,2019,0.4
Tanzania,TZA,2000,3.8
Tanzania,TZA,2005,2.7
Tanzania,TZA,2010,2.5
Tanzania,TZA,2015,2.2
Tanzania,TZA,2019,2
Thailand,THA,2000,0.4
Thailand,THA,2005,0.3
Thailand,THA,2010,0.2
Thailand,THA,2015,0.2
Thailand,THA,2019,0.2
Timor,TLS,2000,0.9
Timor,TLS,2005,0.6
Timor,TLS,2010,0.5
Timor,TLS,2015,0.4
Timor,TLS,2019,0.4
Togo,TGO,2000,2.5
Togo,TGO,2005,2.4
Togo,TGO,2010,2.4
Togo,TGO,2015,2.2
Togo,TGO,2019,1.9
Tonga,TON,2000,1.5
Tonga,TON,2005,1.4
Tonga,TON,2010,1.5
Tonga,TON,2015,1.4
Tonga,TON,2019,1.1
Trinidad and Tobago,TTO,2000,0.2
Trinidad and Tobago,TTO,2005,0.1
Trinidad and Tobago,TTO,2010,0.1
Trinidad and Tobago,TTO,2015,0.1
Trinidad and Tobago,TTO,2019,0.1
Tunisia,TUN,2000,0.9
Tunisia,TUN,2005,0.8
Tunisia,TUN,2010,0.8
Tunisia,TUN,2015,0.7
Tunisia,TUN,2019,0.7
Turkey,TUR,2000,0.8
Turkey,TUR,2005,0.5
Turkey,TUR,2010,0.4
Turkey,TUR,2015,0.4
Turkey,TUR,2019,0.4
Turkmenistan,TKM,2000,1.3
Turkmenistan,TKM,2005,1.5
Turkmenistan,TKM,2010,0.9
Turkmenistan,TKM,2015,0.7
Turkmenistan,TKM,2019,0.6
Uganda,UGA,2000,3.2
Uganda,UGA,2005,3.1
Uganda,UGA,2010,2.4
Uganda,UGA,2015,1.9
Uganda,UGA,2019,1.7
Ukraine,UKR,2000,8.3
Ukraine,UKR,2005,7
Ukraine,UKR,2010,3.5
Ukraine,UKR,2015,2.3
Ukraine,UKR,2019,2.5
United Arab Emirates,ARE,2000,0.6
United Arab Emirates,ARE,2005,0.5
United Arab Emirates,ARE,2010,0.5
United Arab Emirates,ARE,2015,0.4
United Arab Emirates,ARE,2019,0.4
United Kingdom,GBR,2000,0.3
United Kingdom,GBR,2005,0.2
United Kingdom,GBR,2010,0.3
United Kingdom,GBR,2015,0.3
United Kingdom,GBR,2019,0.3
United States,USA,2000,0.4
United States,USA,2005,0.4
United States,USA,2010,0.4
United States,USA,2015,0.4
United States,USA,2019,0.5
Uruguay,URY,2000,0.8
Uruguay,URY,2005,0.4
Uruguay,URY,2010,0.5
Uruguay,URY,2015,0.5
Uruguay,URY,2019,0.5
Uzbekistan,UZB,2000,1.4
Uzbekistan,UZB,2005,1.2
Uzbekistan,UZB,2010,1
Uzbekistan,UZB,2015,0.9
Uzbekistan,UZB,2019,0.8
Vanuatu,VUT,2000,0.9
Vanuatu,VUT,2005,0.8
Vanuatu,VUT,2010,0.8
Vanuatu,VUT,2015,0.8
Vanuatu,VUT,2019,0.7
Venezuela,VEN,2000,0.3
Venezuela,VEN,2005,0.2
Venezuela,VEN,2010,0.3
Venezuela,VEN,2015,0.2
Venezuela,VEN,2019,0.2
Vietnam,VNM,2000,1.2
Vietnam,VNM,2005,1.1
Vietnam,VNM,2010,1.1
Vietnam,VNM,2015,0.9
Vietnam,VNM,2019,0.9
Western Asia,,2000,1
Western Asia,,2005,0.8
Western Asia,,2010,0.7
Western Asia,,2015,0.7
Western Asia,,2019,0.6
World,OWID_WRL,2000,1.5
World,OWID_WRL,2005,1.5
World,OWID_WRL,2010,1.4
World,OWID_WRL,2015,1.2
World,OWID_WRL,2019,1.1
Yemen,YEM,2000,2.8
Yemen,YEM,2005,2.4
Yemen,YEM,2010,1.9
Yemen,YEM,2015,2.3
Yemen,YEM,2019,1.8
Zambia,ZMB,2000,4.6
Zambia,ZMB,2005,4.1
Zambia,ZMB,2010,3.3
Zambia,ZMB,2015,2.9
Zambia,ZMB,2019,2.6
Zimbabwe,ZWE,2000,2.6
Zimbabwe,ZWE,2005,2.9
Zimbabwe,ZWE,2010,4.6
Zimbabwe,ZWE,2015,4.3
Zimbabwe,ZWE,2019,3.5
