Entity,Code,Year,3.8.2 - Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income (%) - SH_XPD_EARN25
United States,USA,2014,0.74082
United States,USA,2015,0.7727
United States,USA,2016,0.66343
United States,USA,2019,0.75609
Uruguay,URY,2005,0.47566
Uruguay,URY,2016,0.16628
Uzbekistan,UZB,2000,2.22108
Uzbekistan,UZB,2002,1.60656
Uzbekistan,UZB,2003,1.84943
Vietnam,VNM,2002,2.95251
Vietnam,VNM,2004,4.05075
Vietnam,VNM,2006,3.82643
Vietnam,VNM,2008,3.59758
Vietnam,VNM,2010,2.14083
Vietnam,VNM,2012,2.02846
Vietnam,VNM,2014,2.07212
Vietnam,VNM,2016,1.8972
Vietnam,VNM,2018,2.42754
Vietnam,VNM,2020,1.73391
Wallis and Futuna,WLF,2005,0
World,OWID_WRL,2000,2.1387
World,OWID_WRL,2005,2.56012
World,OWID_WRL,2010,2.71177
World,OWID_WRL,2015,3.66013
World,OWID_WRL,2017,3.84191
Yemen,YEM,2005,5.37672
Yemen,YEM,2014,4.15905
Zambia,ZMB,2004,0.53494
Zambia,ZMB,2006,0.42785
Zambia,ZMB,2010,0.00912
Zimbabwe,ZWE,2017,7.02518
