Entity,Code,Year,6.6.1 - Mangrove total area change (%) - EN_WBE_MANGC
Timor,TLS,2000,0
Timor,TLS,2007,-2.72
Timor,TLS,2008,-3.17
Timor,TLS,2009,-3.35
Timor,TLS,2010,-3.91
Timor,TLS,2015,-3.97
Timor,TLS,2016,-3.37
Tonga,TON,2000,0
Tonga,TON,2007,0
Tonga,TON,2008,-0.08
Tonga,TON,2009,-0.28
Tonga,TON,2010,-2.25
Tonga,TON,2015,-2.16
Tonga,TON,2016,-3.03
Trinidad and Tobago,TTO,2000,0
Trinidad and Tobago,TTO,2007,-4.96
Trinidad and Tobago,TTO,2008,-4.68
Trinidad and Tobago,TTO,2009,-4.62
Trinidad and Tobago,TTO,2010,-4.07
Trinidad and Tobago,TTO,2015,-8.24
Trinidad and Tobago,TTO,2016,-7.79
Turks and Caicos Islands,TCA,2000,0
Turks and Caicos Islands,TCA,2007,-2.5
Turks and Caicos Islands,TCA,2008,-2.17
Turks and Caicos Islands,TCA,2009,-2.33
Turks and Caicos Islands,TCA,2010,-5.17
Turks and Caicos Islands,TCA,2015,-5.35
Turks and Caicos Islands,TCA,2016,-8.06
United States,USA,2000,0
United States,USA,2007,-4.98
United States,USA,2008,-4.68
United States,USA,2009,-4.8
United States,USA,2010,-7.59
United States,USA,2015,-9.7
United States,USA,2016,-9.95
United States Virgin Islands,VIR,2000,0
United States Virgin Islands,VIR,2007,0
United States Virgin Islands,VIR,2008,-0.49
United States Virgin Islands,VIR,2009,-0.08
United States Virgin Islands,VIR,2010,-0.2
United States Virgin Islands,VIR,2015,-0.53
United States Virgin Islands,VIR,2016,-0.86
Vanuatu,VUT,2000,0
Vanuatu,VUT,2007,0
Vanuatu,VUT,2008,-0.02
Vanuatu,VUT,2009,-0.02
Vanuatu,VUT,2010,-0.03
Vanuatu,VUT,2015,-0.08
Vanuatu,VUT,2016,-0.33
Venezuela,VEN,2000,0
Venezuela,VEN,2007,-1.15
Venezuela,VEN,2008,-0.89
Venezuela,VEN,2009,-0.91
Venezuela,VEN,2010,-0.57
Venezuela,VEN,2015,-2.34
Venezuela,VEN,2016,-2.05
Vietnam,VNM,2000,0
Vietnam,VNM,2007,-5.64
Vietnam,VNM,2008,-5.26
Vietnam,VNM,2009,-5.52
Vietnam,VNM,2010,-6.95
Vietnam,VNM,2015,-8.18
Vietnam,VNM,2016,-7.51
Western Asia,,2000,0
Western Asia,,2007,-4.83473
Western Asia,,2008,-2.09486
Western Asia,,2009,-1.61412
Western Asia,,2010,-1.86709
Western Asia,,2015,-6.27833
Western Asia,,2016,-6.21338
Yemen,YEM,2000,0
Yemen,YEM,2007,0.75
Yemen,YEM,2008,1.1
Yemen,YEM,2009,1.37
Yemen,YEM,2010,0.84
Yemen,YEM,2015,-0.93
Yemen,YEM,2016,0.82
